code,place,state,notes
A,Austria (Federal officials),Federal,Federal president's plate
AM,Amstetten,Lower Austria,
B,Bregenz,Vorarlberg,
B,Burgenland (Burgenland state officials),Burgenland,
BA,Bad Aussee (sub-district),Styria,"Suspended on July 1, 2013; replaced with LI."
BB,Bundesbahnen (Federal Railways),Federal,"Obsolete, ÖBB vehicles now use W ∇ XXX BB plates"
BD,Bundesbusdienst (Federal Bus Service),Federal,"Since 2008 for Postbus coaches only, until 1997 also for ÖBB coaches"
BG,Bundesgendarmerie (Federal gendarmerie),Federal,"Obsolete since July 2005, when Gendarmerie and police merged"
BH,Bundesheer (Federal Army),Federal,
BL,Bruck an der Leitha,Lower Austria,
BM,Bruck-Mürzzuschlag,Styria,Since 2013.
BM,Bruck an der Mur,Styria,Until 2012.
BN,Baden,Lower Austria,
BP,Bundespolizei (Federal police),Federal,Since July 2005 for all new registered police cars
BR,Braunau am Inn,Upper Austria,
BZ,Bludenz,Vorarlberg,
DL,Deutschlandsberg,Styria,
DO,Dornbirn,Vorarlberg,
E,Eisenstadt,Burgenland,"Also for the city of Rust, Burgenland."
EF,Eferding,Upper Austria,
EU,Eisenstadt-Umgebung,Burgenland,Eisenstadt surrounding area
FB,Feldbach,Styria,"Suspended on July 1, 2013; replaced with SO."
FE,Feldkirchen,Carinthia,
FF,Fürstenfeld,Styria,"Suspended on July 1, 2013; replaced with HF."
FK,Feldkirch,Vorarlberg,
FR,Freistadt,Upper Austria,
FV,Finanzverwaltung (Financial Administration),Federal,since 2005
FW,Feuerwehr (Fire brigade),Feuerwehr,since February 2020
G,Graz,Styria,
GB,Gröbming sub-district,Styria,
GD,Gmünd,Lower Austria,
GF,Gänserndorf,Lower Austria,
GK,"Graz, Konsularkorps (Consular corps in Styria)",None,
GM,Gmunden,Upper Austria,
GR,Grieskirchen,Upper Austria,
GS,Güssing,Burgenland,
GU,Graz-Umgebung,Styria,Graz surrounding area.
HA,Hallein,Salzburg,
HB,Hartberg,Styria,"Suspended on July 1, 2013; replaced with HF."
HE,Hermagor,Carinthia,
HF,Hartberg-Fürstenfeld,Styria,"Since July 1, 2013."
HL,Hollabrunn,Lower Austria,
HO,Horn,Lower Austria,
I,Innsbruck,Tyrol,
IL,Innsbruck-Land,Tyrol,Innsbruck countryside area.
IM,Imst,Tyrol,
JE,Jennersdorf,Burgenland,
JO,St. Johann im Pongau,Salzburg,
JU,Judenburg,Styria,"Suspended on July 1, 2012; replaced with MT."
JW,Justizwache (Justice police),Federal,
K,Klagenfurt,Carinthia,
K,Kärnten (Carinthia state officials),Carinthia,
KB,Kitzbühel,Tyrol,
KF,Knittelfeld,Styria,"Suspended on July 1, 2012; replaced with MT."
KG,Klosterneuburg,Lower Austria,
KI,Kirchdorf an der Krems,Upper Austria,
KK,"Kärnten, Konsularkorps (Consular corps in Carinthia)",None,
KL,Klagenfurt-Land,Carinthia,Klagenfurt countryside area.
KO,Korneuburg,Lower Austria,
KR,Krems-Land,Lower Austria,Krems countryside area.
KS,Krems,Lower Austria,Krems City.
KU,Kufstein,Tyrol,
L,Linz,Upper Austria,
LA,Landeck,Tyrol,
LB,Leibnitz,Styria,
LE,Leoben,Styria,Leoben City.
LF,Lilienfeld,Lower Austria,
LI,Liezen,Styria,
LL,Linz-Land,Upper Austria,Linz countryside area.
LN,Leoben,Styria,Leoben countryside area.
LZ,Lienz,Tyrol,
MA,Mattersburg,Burgenland,
MD,Mödling,Lower Austria,
ME,Melk,Lower Austria,
MI,Mistelbach,Lower Austria,
MT,Murtal,Styria,"Since July 1, 2012."
MU,Murau,Styria,
