code,city_or_region
BJ,"Bjelovar, Čazma, Garešnica"
BM,"Beli Manastir"
ČK,"Čakovec, Mursko Središće, Prelog"
DA,"Daruvar, Grubišno Polje, Lipik, Pakrac"
DE,"Čabar, Delnice"
DJ,"Đakovo"
DU,"Dubrovnik, Korčula, Metković, Opuzen, Ploče"
GS,"Gospić, Novalja, Otočac, Senj"
IM,"Imotski"
KA,"Duga Resa, Karlovac, Slunj, Ozalj"
KC,"Đurđevac, Koprivnica"
KR,"Donja Stubica, Klanjec, Krapina, Oroslavje, Pregrada, Zabok, Zlatar"
KT,"Kutina, Novska, Popovača"
KŽ,"Križevci"
MA,"Makarska, Vrgorac"
NA,"Donji Miholjac, Našice"
NG,"Nova Gradiška"
OG,"Ogulin"
OS,"Belišće, Osijek, Valpovo"
PU,"Buje, Buzet, Labin, Novigrad, Pazin, Poreč, Pula, Rovinj, Umag, Vodnjan"
PŽ,"Kutjevo, Pleternica, Požega"
RI,"Bakar, Cres, Crikvenica, Kastav, Kraljevica, Krk, Mali Lošinj, Novi Vinodolski, Opatija, Rab, Rijeka, Vrbovsko"
SB,"Slavonski Brod"
SK,"Glina, Hrvatska Kostajnica, Sisak, Petrinja"
SL,"Orahovica, Slatina"
ST,"Hvar, Kaštela, Komiža, Omiš, Sinj, Solin, Split, Stari Grad, Supetar, Trilj, Trogir, Vis, Vrlika"
ŠI,"Drniš, Knin, Skradin, Šibenik, Vodice"
VK,"Otok, Vinkovci"
VT,"Virovitica"
VU,"Ilok, Vukovar"
VŽ,"Ivanec, Lepoglava, Ludbreg, Novi Marof, Varaždin, Varaždinske Toplice"
ZD,"Benkovac, Biograd na Moru, Nin, Obrovac, Pag, Zadar"
ZG,"Dugo Selo, Ivanić-Grad, Jastrebarsko, Samobor, Sveta Nedelja, Sveti Ivan Zelina, Velika Gorica, Vrbovec, Zagreb, Zaprešić"
ŽU,"Županja"
