code,kraj_region
A,Praha (Hlavní město Praha)
B,Jihomoravský kraj (South Moravia) - Brno
C,Jihočeský kraj (South Bohemia) - České Budějovice
E,Pardubický kraj (Pardubice)
H,Královéhradecký kraj (Hradec Králové)
J,Kraj Vysočina (Highlands) - Jihlava
K,Karlovarský kraj (Karlovy Vary)
L,Liberecký kraj (Liberec)
M,Olomoucký kraj (Olomouc)
P,Plzeňský kraj (Plzeň)
S,Středočeský kraj (Central Bohemia) - seat Praha
T,Moravskoslezský kraj (Moravia-Silesia) - Ostrava
U,Ústecký kraj (Ústí nad Labem)
Z,Zlínský kraj (Zlín)
