code,ort_landkreis,bundesland
A,Stadt Augsburg / Landkreis Augsburg,Bayern
AA,Ostalbkreis,Baden-Württemberg
AB,Stadt Aschaffenburg / Landkreis Aschaffenburg,Bayern
ABG,Landkreis Altenburger Land,Thüringen
ABI,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
AC,Städteregion Aachen,Nordrhein-Westfalen
AE,Vogtlandkreis,Sachsen
AH,Kreis Borken,Nordrhein-Westfalen
AIB,Landkreis München / Landkreis Rosenheim,Bayern
AIC,Landkreis Aichach-Friedberg,Bayern
AK,Landkreis Altenkirchen (Westerwald),Rheinland-Pfalz
ALF,Landkreis Hildesheim,Niedersachsen
ALZ,Landkreis Aschaffenburg,Bayern
AM,Stadt Amberg,Bayern
AN,Stadt Ansbach / Landkreis Ansbach,Bayern
ANA,Erzgebirgskreis,Sachsen
ANG,Landkreis Uckermark,Brandenburg
ANK,Landkreis Vorpommern-Greifswald ohne die Stadt Greifswald,Mecklenburg-Vorpommern
AÖ,Landkreis Altötting,Bayern
AP,Landkreis Weimarer Land,Thüringen
APD,Landkreis Weimarer Land,Thüringen
ARN,Ilm-Kreis,Thüringen
ART,Kyffhäuserkreis,Thüringen
AS,Landkreis Amberg-Sulzbach,Bayern
ASL,Salzlandkreis,Sachsen-Anhalt
ASZ,Erzgebirgskreis,Sachsen
AT,Landkreis Vorpommern-Greifswald ohne die Stadt Greifswald,Mecklenburg-Vorpommern
AU,Erzgebirgskreis,Sachsen
AUR,Landkreis Aurich,Niedersachsen
AW,Landkreis Ahrweiler,Rheinland-Pfalz
AZ,Landkreis Alzey-Worms,Rheinland-Pfalz
AZE,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
B,"Stadt Berlin / Berlin, Senat und Abgeordnetenhaus / Diplomaten",Berlin
BA,Stadt Bamberg / Landkreis Bamberg,Bayern
BAD,Stadt Baden-Baden,Baden-Württemberg
BAR,Landkreis Barnim,Brandenburg
BB,Landkreis Böblingen,Baden-Württemberg
BBG,Salzlandkreis,Sachsen-Anhalt
BBL,"Brandenburg, Landesregierung, Landtag und Polizei",Brandenburg
BC,Landkreis Biberach,Baden-Württemberg
BCH,Neckar-Odenwald-Kreis,Baden-Württemberg
BD,"Deutscher Bundestag, Bundesrat, Bundespräsidialamt, Bundesregierung, Bundesministerien, Bundesfinanzverwaltung (z.&nbsp;B. Zoll) und Bundesverfassungsgericht",bundesweit
BE,Kreis Warendorf,Nordrhein-Westfalen
BED,Landkreis Mittelsachsen,Sachsen
BEL,Landkreis Potsdam-Mittelmark,Brandenburg
BER,Landkreis Barnim,Brandenburg
BF,Kreis Steinfurt,Nordrhein-Westfalen
BGD,Landkreis Berchtesgadener Land,Bayern
BGL,Landkreis Berchtesgadener Land,Bayern
BH,Ortenaukreis / Landkreis Rastatt,Baden-Württemberg
BI,Stadt Bielefeld,Nordrhein-Westfalen
BID,Landkreis Marburg-Biedenkopf,Hessen
BIN,Landkreis Mainz-Bingen,Rheinland-Pfalz
BIR,Landkreis Birkenfeld,Rheinland-Pfalz
BIT,Eifelkreis Bitburg-Prüm,Rheinland-Pfalz
BIW,Landkreis Bautzen,Sachsen
BK,Rems-Murr-Kreis / Landkreis Schwäbisch Hall / Landkreis Börde,Baden-Württemberg
BKS,Landkreis Bernkastel-Wittlich,Rheinland-Pfalz
BL,Zollernalbkreis,Baden-Württemberg
BLB,Kreis Siegen-Wittgenstein,Nordrhein-Westfalen
BLK,Burgenlandkreis,Sachsen-Anhalt
BM,Rhein-Erft-Kreis,Nordrhein-Westfalen
BN,Stadt Bonn / Diplomaten,Nordrhein-Westfalen
BNA,Landkreis Leipzig,Sachsen
BO,Stadt Bochum,Nordrhein-Westfalen
BÖ,Landkreis Börde,Sachsen-Anhalt
BOG,Landkreis Straubing-Bogen,Bayern
BOH,Kreis Borken,Nordrhein-Westfalen
BOR,Kreis Borken,Nordrhein-Westfalen
BOT,Stadt Bottrop,Nordrhein-Westfalen
BP,Bundespolizei,bundesweit
BR,Landkreis Karlsruhe,Baden-Württemberg
BRA,Landkreis Wesermarsch,Niedersachsen
BRB,Stadt Brandenburg an der Havel,Brandenburg
BRG,Landkreis Jerichower Land,Sachsen-Anhalt
BRK,Landkreis Bad Kissingen,Bayern
BRL,Landkreis Goslar,Niedersachsen
BRV,Landkreis Rotenburg (Wümme),Niedersachsen
BS,Stadt Braunschweig,Niedersachsen
BSB,Landkreis Osnabrück,Niedersachsen
BSK,Landkreis Oder-Spree,Brandenburg
BT,Stadt Bayreuth / Landkreis Bayreuth,Bayern
BTF,Landkreis Anhalt-Bitterfeld,Sachsen-Anhalt
BÜD,Wetteraukreis,Hessen
BUL,Landkreis Amberg-Sulzbach / Landkreis Schwandorf,Bayern
BÜR,Kreis Paderborn,Nordrhein-Westfalen
BÜS,"Gemeinde Büsingen am Hochrhein (Gemeinde im Landkreis Konstanz, deutsche Exklave in der Schweiz)",Baden-Württemberg
BÜZ,Landkreis Rostock,Mecklenburg-Vorpommern
BW,Wasserstraßen- und Schifffahrtsverwaltung des Bundes,bundesweit
BWL,"Baden-Württemberg, Landesregierung, Landtag und Polizei",Baden-Württemberg
BYL,"Bayern, Landesregierung und Landtag",Bayern
BZ,Landkreis Bautzen,Sachsen
C,Stadt Chemnitz,Sachsen
CA,Landkreis Oberspreewald-Lausitz,Brandenburg
CAS,Kreis Recklinghausen,Nordrhein-Westfalen
CB,Stadt Cottbus,Brandenburg
CE,Landkreis Celle,Niedersachsen
CHA,Landkreis Cham,Bayern
CLP,Landkreis Cloppenburg,Niedersachsen
CLZ,Landkreis Goslar,Niedersachsen
CO,Stadt Coburg und Landkreis Coburg (→ Zweckverband Zulassungsstelle Coburg),Bayern
COC,Landkreis Cochem-Zell,Rheinland-Pfalz
COE,Kreis Coesfeld,Nordrhein-Westfalen
CR,Landkreis Schwäbisch Hall,Baden-Württemberg
CUX,Landkreis Cuxhaven,Niedersachsen
CW,Landkreis Calw,Baden-Württemberg
D,Stadt Düsseldorf,Nordrhein-Westfalen
DA,Landkreis Darmstadt-Dieburg und Stadt Darmstadt,Hessen
DAH,Landkreis Dachau,Bayern
DAN,Landkreis Lüchow-Dannenberg,Niedersachsen
DAU,Landkreis Vulkaneifel,Rheinland-Pfalz
DBR,Landkreis Rostock,Mecklenburg-Vorpommern
DD,Stadt Dresden / Polizei Sachsen,Sachsen
DE,Stadt Dessau-Roßlau,Sachsen-Anhalt
DEG,Landkreis Deggendorf,Bayern
DEL,Stadt Delmenhorst,Niedersachsen
DGF,Landkreis Dingolfing-Landau,Bayern
DH,Landkreis Diepholz,Niedersachsen
DI,Landkreis Darmstadt-Dieburg,Hessen
DIL,Lahn-Dill-Kreis,Hessen
DIN,Kreis Wesel,Nordrhein-Westfalen
DIZ,Rhein-Lahn-Kreis,Rheinland-Pfalz
DKB,Landkreis Ansbach,Bayern
DL,Landkreis Mittelsachsen,Sachsen
DLG,Landkreis Dillingen an der Donau,Bayern
