code,prefecture
ΑΑ,"Achaia – Patras"
ΑΒ,"Kavala – Kavala"
ΑΕ,"Lasithi – Agios Nikolaos"
ΑΖ,"Achaia – Patras"
ΑΗ,"Xanthi – Xanthi"
ΑΙ,"Aitoloakarnania – Agrinio"
ΑΚ,"Laconia – Sparti"
ΑΜ,"Phokida – Amfissa"
ΑΝ,"Lasithi – Agios Nikolaos"
ΑΟ,"Achaia – Patras"
ΑΡ,"Argolis (Argolida) – Nafplio"
ΑΤ,"Arta – Arta"
AY,"Achaia – Patras"
ΑΧ,"Achaia – Patras"
ΒΑ,"Magnesia – Volos"
ΒΒ,"Magnesia – Volos"
ΒΕ,"Piraeus"
BZ,"Piraeus"
ΒΗ,"Piraeus"
ΒΙ,"Boeotia (Viotia) – Livadeia"
ΒΚ,"East Attica – Pallini"
ΒΜ,"East Attica – Pallini"
ΒΝ,"West Attica – Elefsina"
ΒΟ,"Magnesia – Volos"
ΒΡ,"West Attica – Elefsina"
ΒΤ,"Magnesia – Volos"
ΒΥ,"Boeotia (Viotia) – Livadeia"
ΒΧ,"Piraeus"
ΕΑ,"Dodecanese – Kos island"
ΕΒ,"Evros – Alexandroupoli"
ΕΕ,"Pella – Edessa"
ΕΖ,"Cyclades – Ermoupoli"
ΕΗ,"Euboea (Evia) – Chalkida"
ΕΙ,"Euboea (Evia) – Chalkida"
EK,"National Transport"
ΕΜ,"Cyclades – Ermoupoli"
ΕΡ,"Serres – Serres"
ΕΤ,"Corfu (Kerkyra) – Corfu"
ΕΥ,"Lefkada – Lefkada"
ΕΧ,"Kilkis – Kilkis"
ΖΑ,"Zakynthos – Zakynthos"
ΖΒ,"Zakynthos – Zakynthos"
ΖΕ,"Athens"
ΖΖ,"Athens"
ΖΗ,"Athens"
ΖΙ,"Athens"
ΖΚ,"Athens"
ΖΜ,"Athens"
ΖΝ,"Piraeus"
ΖΟ,"Athens"
ΖΡ,"Piraeus"
ΖΤ,"West Attica – Elefsina"
ΖΥ,"East Attica – Pallini"
ΖΧ,"East Attica – Pallini"
ΗΑ,"Ilia – Pyrgos"
ΗΒ,"Athens"
ΗΕ,"Ilia – Pyrgos"
ΗΖ,"Heraklion – Heraklion"
ΗΗ,"Heraklion – Heraklion"
ΗΙ,"Heraklion – Heraklion"
ΗΚ,"Heraklion – Heraklion"
ΗΜ,"Imathia – Veria"
ΗΝ,"Thesprotia – Igoumenitsa"
ΗΟ,"Xanthi – Xanthi"
ΗΡ,"Heraklion – Heraklion"
ΗΤ,"Xanthi – Xanthi"
ΗΥ,"Phthiotis (Fthiotida) – Lamia"
ΗΧ,"Imathia – Veria"
ΙΑ,"International Transport"
ΙΒ,"Athens"
ΙΕ,"Athens"
ΙΖ,"Athens"
ΙΗ,"Athens"
ΙΙ,"Ioannina – Ioannina"
ΙΚ,"Athens"
ΙΜ,"Athens"
ΙΝ,"Ioannina – Ioannina"
ΙΟ,"Athens"
ΙΡ,"Athens"
ΙΤ,"Athens"
ΙΥ,"Athens"
ΙΧ,"Serres"
ΚΑ,"Karditsa – Karditsa"
ΚΒ,"Kavala – Kavala"
ΚΕ,"Kefalonia and Ithaca – Argostoli"
ΚΖ,"Kozani – Kozani"
ΚΗ,"Evrytania – Karpenisi"
ΚΙ,"Kilkis – Kilkis"
ΚΚ,"Rhodope – Komotini"
ΚΜ,"Messinia – Kalamata"
ΚΝ,"Pieria – Katerini"
ΚΟ,"Rhodope (Rodopi) – Komotini"
ΚΡ,"Corinthia – Corinth"
ΚΤ,"Kastoria – Kastoria"
ΚΥ,"Corfu (Kerkyra) – Corfu"
ΚΧ,"Dodecanese – Kos island"
ΜΑ,"Chalkidiki – Polygyros"
ΜΒ,"Samos – Samos"
ΜΕ,"Aitoloakarnania – Messolongi"
