city,powiat,voivodeship
Lubin,lubiński,dolnośląskie
Głogów,głogowski,dolnośląskie
Świdnica,świdnicki,dolnośląskie
Bolesławiec,bolesławiecki,dolnośląskie
Oleśnica,oleśnicki,dolnośląskie
Oława,oławski,dolnośląskie
Dzierżoniów,dzierżoniowski,dolnośląskie
Zgorzelec,zgorzelecki,dolnośląskie
Bielawa,dzierżoniowski,dolnośląskie
Kłodzko,kłodzki,dolnośląskie
Świebodzice,świdnicki,dolnośląskie
Polkowice,polkowicki,dolnośląskie
Jawor,jaworski,dolnośląskie
Nowa Ruda,kłodzki,dolnośląskie
Lubań,lubański,dolnośląskie
Kamienna Góra,kamiennogórski,dolnośląskie
Bogatynia,zgorzelecki,dolnośląskie
Jelcz-Laskowice,oławski,dolnośląskie
Strzegom,świdnicki,dolnośląskie
Ząbkowice Śląskie,ząbkowicki,dolnośląskie
Boguszów-Gorce,wałbrzyski,dolnośląskie
Złotoryja,złotoryjski,dolnośląskie
Trzebnica,trzebnicki,dolnośląskie
Brzeg Dolny,wołowski,dolnośląskie
Chojnów,legnicki,dolnośląskie
Wołów,wołowski,dolnośląskie
Strzelin,strzeliński,dolnośląskie
Góra,górowski,dolnośląskie
Milicz,milicki,dolnośląskie
Siechnice,wrocławski,dolnośląskie
Syców,oleśnicki,dolnośląskie
Kowary,karkonoski,dolnośląskie
Środa Śląska,średzki,dolnośląskie
Kudowa-Zdrój,kłodzki,dolnośląskie
Bystrzyca Kłodzka,kłodzki,dolnośląskie
Oborniki Śląskie,trzebnicki,dolnośląskie
Lwówek Śląski,lwówecki,dolnośląskie
Ziębice,ząbkowicki,dolnośląskie
Chocianów,polkowicki,dolnośląskie
Kąty Wrocławskie,wrocławski,dolnośląskie
Sobótka,wrocławski,dolnośląskie
Pieszyce,dzierżoniowski,dolnośląskie
Żarów,świdnicki,dolnośląskie
Twardogóra,oleśnicki,dolnośląskie
Żmigród,trzebnicki,dolnośląskie
Gryfów Śląski,lwówecki,dolnośląskie
Głuszyca,wałbrzyski,dolnośląskie
Polanica-Zdrój,kłodzki,dolnośląskie
Piława Górna,dzierżoniowski,dolnośląskie
Piechowice,karkonoski,dolnośląskie
Szklarska Poręba,karkonoski,dolnośląskie
Lubawka,kamiennogórski,dolnośląskie
Przemków,polkowicki,dolnośląskie
Pieńsk,zgorzelecki,dolnośląskie
Ścinawa,lubiński,dolnośląskie
Szczawno-Zdrój,wałbrzyski,dolnośląskie
Jaworzyna Śląska,świdnicki,dolnośląskie
Lądek-Zdrój,kłodzki,dolnośląskie
Stronie Śląskie,kłodzki,dolnośląskie
Szczytna,kłodzki,dolnośląskie
Bolków,jaworski,dolnośląskie
Jedlina-Zdrój,wałbrzyski,dolnośląskie
Bierutów,oleśnicki,dolnośląskie
Kamieniec Ząbkowicki,ząbkowicki,dolnośląskie
Olszyna,lubański,dolnośląskie
Karpacz,karkonoski,dolnośląskie
Nowogrodziec,bolesławiecki,dolnośląskie
Leśna,lubański,dolnośląskie
Duszniki-Zdrój,kłodzki,dolnośląskie
Świeradów-Zdrój,lubański,dolnośląskie
Mieroszów,wałbrzyski,dolnośląskie
Zawidów,zgorzelecki,dolnośląskie
Mirsk,lwówecki,dolnośląskie
Prochowice,legnicki,dolnośląskie
Wojcieszów,złotoryjski,dolnośląskie
Niemcza,dzierżoniowski,dolnośląskie
Węgliniec,zgorzelecki,dolnośląskie
Wąsosz,górowski,dolnośląskie
Złoty Stok,ząbkowicki,dolnośląskie
Międzylesie,kłodzki,dolnośląskie
Bardo,ząbkowicki,dolnośląskie
Międzybórz,oleśnicki,dolnośląskie
Radków,kłodzki,dolnośląskie
Wiązów,strzeliński,dolnośląskie
Prusice,trzebnicki,dolnośląskie
Miękinia,średzki,dolnośląskie
Świerzawa,złotoryjski,dolnośląskie
Lubomierz,lwówecki,dolnośląskie
Wleń,lwówecki,dolnośląskie
Inowrocław,inowrocławski,kujawsko-pomorskie
Brodnica,brodnicki,kujawsko-pomorskie
Świecie,świecki,kujawsko-pomorskie
Chełmno,chełmiński,kujawsko-pomorskie
Nakło nad Notecią,nakielski,kujawsko-pomorskie
Rypin,rypiński,kujawsko-pomorskie
Solec Kujawski,bydgoski,kujawsko-pomorskie
Chełmża,toruński,kujawsko-pomorskie
Lipno,lipnowski,kujawsko-pomorskie
Tuchola,tucholski,kujawsko-pomorskie
Żnin,żniński,kujawsko-pomorskie
Wąbrzeźno,wąbrzeski,kujawsko-pomorskie
Aleksandrów Kujawski,aleksandrowski,kujawsko-pomorskie
Golub-Dobrzyń,golubsko-dobrzyński,kujawsko-pomorskie
Mogilno,mogileński,kujawsko-pomorskie
Koronowo,bydgoski,kujawsko-pomorskie
Ciechocinek,aleksandrowski,kujawsko-pomorskie
Szubin,nakielski,kujawsko-pomorskie
Kruszwica,inowrocławski,kujawsko-pomorskie
Sępólno Krajeńskie,sępoleński,kujawsko-pomorskie
Janikowo,inowrocławski,kujawsko-pomorskie
Barcin,żniński,kujawsko-pomorskie
Gniewkowo,inowrocławski,kujawsko-pomorskie
Więcbork,sępoleński,kujawsko-pomorskie
Nowe,świecki,kujawsko-pomorskie
Strzelno,mogileński,kujawsko-pomorskie
Pakość,inowrocławski,kujawsko-pomorskie
Radziejów,radziejowski,kujawsko-pomorskie
Brześć Kujawski,włocławski,kujawsko-pomorskie
Łabiszyn,żniński,kujawsko-pomorskie
Kcynia,nakielski,kujawsko-pomorskie
Piotrków Kujawski,radziejowski,kujawsko-pomorskie
Mrocza,nakielski,kujawsko-pomorskie
Kowalewo Pomorskie,golubsko-dobrzyński,kujawsko-pomorskie
Jabłonowo Pomorskie,brodnicki,kujawsko-pomorskie
Janowiec Wielkopolski,żniński,kujawsko-pomorskie
Skępe,lipnowski,kujawsko-pomorskie
Kowal,włocławski,kujawsko-pomorskie
Łasin,grudziądzki,kujawsko-pomorskie
Pruszcz,świecki,kujawsko-pomorskie
Lubraniec,włocławski,kujawsko-pomorskie
Izbica Kujawska,włocławski,kujawsko-pomorskie
Kamień Krajeński,sępoleński,kujawsko-pomorskie
Kikół,lipnowski,kujawsko-pomorskie
Dobrzyń nad Wisłą,lipnowski,kujawsko-pomorskie
Radzyń Chełmiński,grudziądzki,kujawsko-pomorskie
Nieszawa,aleksandrowski,kujawsko-pomorskie
Chodecz,włocławski,kujawsko-pomorskie
Gąsawa,żniński,kujawsko-pomorskie
Górzno,brodnicki,kujawsko-pomorskie
Lubień Kujawski,włocławski,kujawsko-pomorskie
Bobrowniki,lipnowski,kujawsko-pomorskie
Puławy,puławski,lubelskie
Świdnik,świdnicki,lubelskie
Kraśnik,kraśnicki,lubelskie
Łuków,łukowski,lubelskie
Biłgoraj,biłgorajski,lubelskie
Lubartów,lubartowski,lubelskie
Tomaszów Lubelski,tomaszowski,lubelskie
Łęczna,łęczyński,lubelskie
Krasnystaw,krasnostawski,lubelskie
Hrubieszów,hrubieszowski,lubelskie
Międzyrzec Podlaski,bialski,lubelskie
Radzyń Podlaski,radzyński,lubelskie
Dęblin,rycki,lubelskie
Włodawa,włodawski,lubelskie
Janów Lubelski,janowski,lubelskie
Parczew,parczewski,lubelskie
Ryki,rycki,lubelskie
Poniatowa,opolski,lubelskie
Opole Lubelskie,opolski,lubelskie
Bełżyce,lubelski,lubelskie
Terespol,bialski,lubelskie
Szczebrzeszyn,zamojski,lubelskie
Bychawa,lubelski,lubelskie
Rejowiec Fabryczny,chełmski,lubelskie
Nałęczów,puławski,lubelskie
Kazimierz Dolny,puławski,lubelskie
Tarnogród,biłgorajski,lubelskie
Krasnobród,zamojski,lubelskie
Kock,lubartowski,lubelskie
Zwierzyniec,zamojski,lubelskie
Kurów,puławski,lubelskie
Janów Podlaski,bialski,lubelskie
Piaski,świdnicki,lubelskie
Stoczek Łukowski,łukowski,lubelskie
Józefów,biłgorajski,lubelskie
Annopol,kraśnicki,lubelskie
Lubycza Królewska,tomaszowski,lubelskie
Piszczac,bialski,lubelskie
Rejowiec,chełmski,lubelskie
Końskowola,puławski,lubelskie
Łaszczów,tomaszowski,lubelskie
Ostrów Lubelski,lubartowski,lubelskie
Tyszowce,tomaszowski,lubelskie
Kamionka,lubartowski,lubelskie
Urzędów,kraśnicki,lubelskie
Izbica,krasnostawski,lubelskie
Modliborzyce,janowski,lubelskie
Frampol,biłgorajski,lubelskie
Siedliszcze,chełmski,lubelskie
Czemierniki,radzyński,lubelskie
Wąwolnica,puławski,lubelskie
