code,okres,kraj_region
BA,Bratislava,Bratislavský
BD,Bratislava,Bratislavský
BE,Bratislava,Bratislavský
BI,Bratislava,Bratislavský
BL,Bratislava,Bratislavský
BT,Bratislava,Bratislavský
BB,Banská Bystrica,Banskobystrický
BC,Banská Bystrica,Banskobystrický
BK,Banská Bystrica,Banskobystrický
BJ,Bardejov,Prešovský
BN,Bánovce nad Bebravou,Trenčiansky
BR,Brezno,Banskobystrický
BS,Banská Štiavnica,Banskobystrický
BY,Bytča,Žilinský
CA,Čadca,Žilinský
DK,Dolný Kubín,Žilinský
DS,Dunajská Streda,Trnavský
DT,Detva,Banskobystrický
GA,Galanta,Trnavský
GL,Gelnica,Košický
HC,Hlohovec,Trnavský
HE,Humenné,Prešovský
IL,Ilava,Trenčiansky
KA,Krupina,Banskobystrický
KE,Košice,Košický
KC,Košice,Košický
KI,Košice,Košický
KK,Kežmarok,Prešovský
KM,Kysucké Nové Mesto,Žilinský
KN,Komárno,Nitriansky
KS,Košice-okolie,Košický
LC,Lučenec,Banskobystrický
LE,Levoča,Prešovský
LM,Liptovský Mikuláš,Žilinský
LV,Levice,Nitriansky
LL,Levice,Nitriansky
MA,Malacky,Bratislavský
MI,Michalovce,Košický
ML,Medzilaborce,Prešovský
MT,Martin,Žilinský
MY,Myjava,Trenčiansky
NR,Nitra,Nitriansky
NI,Nitra,Nitriansky
NT,Nitra,Nitriansky
NM,Nové Mesto nad Váhom,Trenčiansky
NO,Námestovo,Žilinský
NZ,Nové Zámky,Nitriansky
NC,Nové Zámky,Nitriansky
PB,Považská Bystrica,Trenčiansky
PD,Prievidza,Trenčiansky
PE,Partizánske,Trenčiansky
PK,Pezinok,Bratislavský
PN,Piešťany,Trnavský
PO,Prešov,Prešovský
PV,Prešov,Prešovský
PS,Prešov,Prešovský
PP,Poprad,Prešovský
PT,Poltár,Banskobystrický
PU,Púchov,Trenčiansky
RA,Revúca,Banskobystrický
RK,Ružomberok,Žilinský
RS,Rimavská Sobota,Banskobystrický
RV,Rožňava,Košický
SA,Šaľa,Nitriansky
SB,Sabinov,Prešovský
SC,Senec,Bratislavský
SE,Senica,Trnavský
SI,Skalica,Trnavský
SK,Svidník,Prešovský
SL,Stará Ľubovňa,Prešovský
SN,Spišská Nová Ves,Košický
SO,Sobrance,Košický
SP,Stropkov,Prešovský
SV,Snina,Prešovský
TT,Trnava,Trnavský
TA,Trnava,Trnavský
TB,Trnava,Trnavský
TN,Trenčín,Trenčiansky
TC,Trenčín,Trenčiansky
TE,Trenčín,Trenčiansky
TO,Topoľčany,Nitriansky
TR,Turčianske Teplice,Žilinský
TS,Tvrdošín,Žilinský
TV,Trebišov,Košický
VK,Veľký Krtíš,Banskobystrický
VT,Vranov nad Topľou,Prešovský
ZA,Žilina,Žilinský
ZI,Žilina,Žilinský
ZL,Žilina,Žilinský
ZC,Žarnovica,Banskobystrický
ZH,Žiar nad Hronom,Banskobystrický
ZM,Zlaté Moravce,Nitriansky
ZV,Zvolen,Banskobystrický
